sample,penicillin,gff
6952-7-23,1,data/tutorial_core/gff/6952-7-23.gff3
6952-7-2,0,data/tutorial_core/gff/6952-7-2.gff3
6952-7-3,1,data/tutorial_core/gff/6952-7-3.gff3
6952-7-4,1,data/tutorial_core/gff/6952-7-4.gff3
6952-7-5,0,data/tutorial_core/gff/6952-7-5.gff3
6952-7-6,0,data/tutorial_core/gff/6952-7-6.gff3
6952-7-7,1,data/tutorial_core/gff/6952-7-7.gff3
6952-7-8,0,data/tutorial_core/gff/6952-7-8.gff3
6952-7-9,0,data/tutorial_core/gff/6952-7-9.gff3
6999-1-10,0,data/tutorial_core/gff/6999-1-10.gff3
6999-1-11,0,data/tutorial_core/gff/6999-1-11.gff3
6999-1-12,0,data/tutorial_core/gff/6999-1-12.gff3
6999-1-13,0,data/tutorial_core/gff/6999-1-13.gff3
6999-1-14,1,data/tutorial_core/gff/6999-1-14.gff3
6999-1-15,0,data/tutorial_core/gff/6999-1-15.gff3
6999-1-16,1,data/tutorial_core/gff/6999-1-16.gff3
6999-1-17,1,data/tutorial_core/gff/6999-1-17.gff3
6999-1-18,1,data/tutorial_core/gff/6999-1-18.gff3
6999-1-19,0,data/tutorial_core/gff/6999-1-19.gff3
6999-1-1,0,data/tutorial_core/gff/6999-1-1.gff3
6999-1-20,0,data/tutorial_core/gff/6999-1-20.gff3
6999-1-21,1,data/tutorial_core/gff/6999-1-21.gff3
6999-1-22,0,data/tutorial_core/gff/6999-1-22.gff3
6999-1-23,0,data/tutorial_core/gff/6999-1-23.gff3
6999-1-2,1,data/tutorial_core/gff/6999-1-2.gff3
6999-1-3,0,data/tutorial_core/gff/6999-1-3.gff3
6999-1-4,0,data/tutorial_core/gff/6999-1-4.gff3
6999-1-5,0,data/tutorial_core/gff/6999-1-5.gff3
6999-1-6,0,data/tutorial_core/gff/6999-1-6.gff3
6999-1-7,0,data/tutorial_core/gff/6999-1-7.gff3
6999-1-8,0,data/tutorial_core/gff/6999-1-8.gff3
6999-1-9,0,data/tutorial_core/gff/6999-1-9.gff3
6999-2-10,0,data/tutorial_core/gff/6999-2-10.gff3
6999-2-11,0,data/tutorial_core/gff/6999-2-11.gff3
6999-2-12,1,data/tutorial_core/gff/6999-2-12.gff3
6999-2-13,0,data/tutorial_core/gff/6999-2-13.gff3
6999-2-14,1,data/tutorial_core/gff/6999-2-14.gff3
6999-2-15,1,data/tutorial_core/gff/6999-2-15.gff3
6999-2-16,1,data/tutorial_core/gff/6999-2-16.gff3
6999-2-17,0,data/tutorial_core/gff/6999-2-17.gff3
6999-2-18,0,data/tutorial_core/gff/6999-2-18.gff3
6999-2-19,1,data/tutorial_core/gff/6999-2-19.gff3
6999-2-1,1,data/tutorial_core/gff/6999-2-1.gff3
6999-2-20,1,data/tutorial_core/gff/6999-2-20.gff3
6999-2-21,1,data/tutorial_core/gff/6999-2-21.gff3
6999-2-22,0,data/tutorial_core/gff/6999-2-22.gff3
6999-2-23,1,data/tutorial_core/gff/6999-2-23.gff3
6999-2-2,0,data/tutorial_core/gff/6999-2-2.gff3
6999-2-3,1,data/tutorial_core/gff/6999-2-3.gff3
6999-2-4,1,data/tutorial_core/gff/6999-2-4.gff3
6999-2-5,1,data/tutorial_core/gff/6999-2-5.gff3
6999-2-6,0,data/tutorial_core/gff/6999-2-6.gff3
6999-2-7,0,data/tutorial_core/gff/6999-2-7.gff3
6999-2-8,0,data/tutorial_core/gff/6999-2-8.gff3
6999-2-9,1,data/tutorial_core/gff/6999-2-9.gff3
6999-3-10,0,data/tutorial_core/gff/6999-3-10.gff3
6999-3-11,0,data/tutorial_core/gff/6999-3-11.gff3
6999-3-12,0,data/tutorial_core/gff/6999-3-12.gff3
6999-3-13,1,data/tutorial_core/gff/6999-3-13.gff3
6999-3-14,1,data/tutorial_core/gff/6999-3-14.gff3
6999-3-15,0,data/tutorial_core/gff/6999-3-15.gff3
6999-3-16,1,data/tutorial_core/gff/6999-3-16.gff3
6999-3-18,0,data/tutorial_core/gff/6999-3-18.gff3
6999-3-19,1,data/tutorial_core/gff/6999-3-19.gff3
6999-3-1,0,data/tutorial_core/gff/6999-3-1.gff3
6999-3-20,0,data/tutorial_core/gff/6999-3-20.gff3
6999-3-21,1,data/tutorial_core/gff/6999-3-21.gff3
6999-3-22,0,data/tutorial_core/gff/6999-3-22.gff3
6999-3-23,0,data/tutorial_core/gff/6999-3-23.gff3
6999-3-2,0,data/tutorial_core/gff/6999-3-2.gff3
6999-3-3,0,data/tutorial_core/gff/6999-3-3.gff3
6999-3-4,0,data/tutorial_core/gff/6999-3-4.gff3
6999-3-5,1,data/tutorial_core/gff/6999-3-5.gff3
6999-3-6,1,data/tutorial_core/gff/6999-3-6.gff3
6999-3-7,1,data/tutorial_core/gff/6999-3-7.gff3
6999-3-9,0,data/tutorial_core/gff/6999-3-9.gff3
6999-4-10,0,data/tutorial_core/gff/6999-4-10.gff3
6999-4-11,1,data/tutorial_core/gff/6999-4-11.gff3
6999-4-12,1,data/tutorial_core/gff/6999-4-12.gff3
6999-4-13,0,data/tutorial_core/gff/6999-4-13.gff3
6999-4-14,0,data/tutorial_core/gff/6999-4-14.gff3
6999-4-15,0,data/tutorial_core/gff/6999-4-15.gff3
6999-4-16,0,data/tutorial_core/gff/6999-4-16.gff3
6999-4-17,0,data/tutorial_core/gff/6999-4-17.gff3
6999-4-18,0,data/tutorial_core/gff/6999-4-18.gff3
6999-4-19,0,data/tutorial_core/gff/6999-4-19.gff3
6999-4-20,1,data/tutorial_core/gff/6999-4-20.gff3
6999-4-21,0,data/tutorial_core/gff/6999-4-21.gff3
6999-4-22,0,data/tutorial_core/gff/6999-4-22.gff3
6999-4-23,0,data/tutorial_core/gff/6999-4-23.gff3
6999-4-2,1,data/tutorial_core/gff/6999-4-2.gff3
6999-4-4,0,data/tutorial_core/gff/6999-4-4.gff3
6999-4-6,0,data/tutorial_core/gff/6999-4-6.gff3
6999-4-7,0,data/tutorial_core/gff/6999-4-7.gff3
6999-4-8,0,data/tutorial_core/gff/6999-4-8.gff3
6999-4-9,0,data/tutorial_core/gff/6999-4-9.gff3
6999-5-10,1,data/tutorial_core/gff/6999-5-10.gff3
6999-5-11,1,data/tutorial_core/gff/6999-5-11.gff3
6999-5-12,0,data/tutorial_core/gff/6999-5-12.gff3
6999-5-13,1,data/tutorial_core/gff/6999-5-13.gff3
6999-5-14,1,data/tutorial_core/gff/6999-5-14.gff3
6999-5-15,0,data/tutorial_core/gff/6999-5-15.gff3
